x0000,y0000
-inf,-7.190866504,
0.2701301257,-7.18132798,
0.5711601214,-7.153827129,
0.7472513805,-7.111303056,
0.8721901171,-7.057584656,
0.9691001301,-6.996474552,
1.048281376,-6.931194971,
1.115228166,-6.864211075,
1.173220113,-6.797286155,
1.224372635,-6.731626348,
1.270130126,-6.66803186,
1.311522811,-6.607021657,
1.349311372,-6.548925601,
1.384073478,-6.493948619,
1.416258161,-6.442213935,
1.446221385,-6.393791678,
1.474250108,-6.348717643,
1.500579047,-6.307005577,
1.525402631,-6.268655235,
1.548883727,-6.233657702,
1.571160121,-6.20199894,
1.59234942,-6.173662172,
1.612552807,-6.148629502,
1.631857962,-6.126883035,
1.650341367,-6.108405648,
1.668070134,-6.093181524,
1.685103474,-6.081196517,
1.70149389,-6.072438392,
1.717288157,-6.066896969,
1.732528124,-6.064564189,
1.74725138,-6.0654341,
1.76149182,-6.069502792,
1.775280104,-6.076768246,
1.788644066,-6.087230113,
1.801609043,-6.100889407,
1.81419817,-6.117748071,
1.826432627,-6.137808427,
1.83833185,-6.161072431,
1.849913722,-6.187540715,
1.861194733,-6.217211339,
1.872190117,-6.250078164,
1.882913982,-6.28612875,
1.893379416,-6.325341623,
1.903598581,-6.367682751,
1.913582802,-6.413100989,
1.92334264,-6.461522233,
1.932887957,-6.512841963,
1.942227984,-6.566915818,
1.951371363,-6.623547851,
1.960326206,-6.682476198,
1.96910013,-6.743356105,
1.977700302,-6.805740734,
1.986133469,-6.869061008,
1.994405995,-6.932607069,
2.002523886,-6.995515744,
2.010492815,-7.056770508,
2.018318153,-7.115221933,
2.026004981,-7.16963617,
2.033558119,-7.218774753,
2.040982137,-7.261500054,
2.048281376,-7.296888844,
2.055459961,-7.324327124,
2.062521815,-7.34355971,
2.069470675,-7.354680835,
2.0763101,-7.358072132,
2.083043482,-7.354311038,
2.089674061,-7.344077663,
2.096204928,-7.328081353,
2.102639038,-7.307015728,
2.108979216,-7.281539868,
2.115228166,-7.25227719,
2.121388474,-7.219822453,
2.127462622,-7.184749424,
2.133452986,-7.147615046,
2.139361845,-7.108958967,
2.145191389,-7.069299311,
2.150943718,-7.02912648,
2.156620851,-6.988896816,
2.162224728,-6.94902748,
2.167757217,-6.909893263,
2.173220113,-6.871825491,
2.178615145,-6.835112807,
2.183943978,-6.80000339,
2.189208218,-6.766708137,
2.194409412,-6.735404378,
2.199549051,-6.70623974,
2.204628577,-6.679335934,
2.209649378,-6.654792266,
2.214612798,-6.632688779,
2.219520132,-6.613088991,
2.224372635,-6.596042193,
2.229171518,-6.581585338,
2.233917953,-6.569744526,
2.238613074,-6.560536119,
2.243257979,-6.553967508,
2.247853731,-6.550037551,
2.252401359,-6.548736695,
2.25690186,-6.550046806,
2.261356201,-6.553940692,
2.26576532,-6.560381334,
2.270130126,-6.569320812,
2.2744515,-6.580698943,
2.278730298,-6.594441603,
2.28296735,-6.610458773,
2.287163465,-6.628642327,
2.291319425,-6.648863617,
2.295435991,-6.670970955,
2.299513903,-6.694787142,
2.303553881,-6.720107276,
2.307556624,-6.746697114,
2.311522811,-6.774292412,
2.315453105,-6.802599681,
2.319348148,-6.831298877,
2.323208569,-6.860048497,
2.327034977,-6.888493435,
2.330827966,-6.916275656,
2.334588115,-6.943047373,
2.338315987,-6.968485869,
2.342012133,-6.992308608,
2.345677087,-7.014286902,
2.349311372,-7.0342563,
2.352915496,-7.052122176,
2.356489956,-7.067859628,
2.360035237,-7.081507736,
2.363551811,-7.093159076,
2.367040139,-7.102946111,
2.370500671,-7.11102635,
2.373933847,-7.1175681,
2.377340095,-7.122738248,
2.380719836,-7.12669297,
2.384073478,-7.129571735,
2.387401421,-7.1314945,
2.390704057,-7.132561682,
2.393981767,-7.132856311,
2.397234924,-7.132447682,
2.400463894,-7.131395846,
2.403669034,-7.129756332,
2.406850693,-7.127584593,
2.410009212,-7.12493977,
2.413144926,-7.121887529,
2.416258161,-7.118501802,
2.419349238,-7.114865438,
2.42241847,-7.111069815,
2.425466163,-7.107213593,
2.428492618,-7.103400783,
2.431498128,-7.099738381,
2.434482982,-7.096333754,
2.43744746,-7.09329197,
2.440391841,-7.090713224,
2.443316394,-7.088690442,
2.446221385,-7.087307135,
2.449107073,-7.086635523,
2.451973714,-7.086734909,
2.454821557,-7.087650307,
2.457650847,-7.089411275,
2.460461824,-7.092030936,
2.463254724,-7.095505171,
2.466029778,-7.099811978,
2.468787213,-7.104911014,
2.47152725,-7.110743368,
2.474250108,-7.117231616,
2.476956002,-7.12428024,
2.47964514,-7.131776529,
2.48231773,-7.139592041,
2.484973974,-7.147584764,
2.48761407,-7.155602022,
2.490238214,-7.163484198,
2.492846597,-7.171069221,
2.495439407,-7.178197719,
2.49801683,-7.184718617,
2.500579047,-7.190494864,
2.503126236,-7.195408911,
2.505658573,-7.199367507,
2.508176229,-7.202305387,
2.510679374,-7.204187536,
2.513168174,-7.20500981,
2.515642794,-7.20479789,
2.518103392,-7.203604692,
2.520550128,-7.201506535,
2.522983157,-7.198598453,
2.525402631,-7.19498907,
2.527808701,-7.190795471,
2.530201514,-7.186138401,
2.532581215,-7.181138042,
2.534947949,-7.175910541,
2.537301854,-7.170565299,
2.53964307,-7.165203045,
2.541971732,-7.159914579,
2.544287975,-7.154780077,
2.54659193,-7.149868848,
2.548883727,-7.145239394,
2.551163493,-7.140939673,
2.553431354,-7.137007475,
2.555687435,-7.133470821,
2.557931856,-7.130348352,
2.560164737,-7.127649665,
2.562386197,-7.125375601,
2.564596352,-7.123518469,
2.566795316,-7.122062245,
2.568983202,-7.120982781,
2.571160121,-7.120248039,
2.573326183,-7.119818429,
2.575481495,-7.119647275,
2.577626164,-7.119681467,
2.579760293,-7.119862336,
2.581883987,-7.120126786,
2.583997346,-7.120408694,
2.586100471,-7.120640572,
2.588193461,-7.12075547,
2.590276412,-7.120689057,
2.59234942,-7.120381801,
2.594412581,-7.119781148,
2.596465987,-7.118843576,
2.598509729,-7.117536395,
2.600543899,-7.11583918,
2.602568586,-7.113744718,
2.604583877,-7.111259412,
2.60658986,-7.108403092,
2.608586619,-7.105208254,
2.610574241,-7.101718756,
2.612552807,-7.097988082,
2.614522399,-7.094077254,
2.6164831,-7.090052542,
2.618434989,-7.085983078,
2.620378144,-7.081938499,
2.622312644,-7.077986708,
2.624238565,-7.074191841,
2.626155983,-7.070612488,
2.628064973,-7.067300197,
2.629965608,-7.064298284,
2.631857962,-7.061640948,
2.633742106,-7.059352684,
2.635618111,-7.057447983,
2.637486047,-7.055931305,
2.639345983,-7.05479732,
2.641197988,-7.054031386,
2.643042129,-7.053610272,
2.644878472,-7.053503109,
2.646707083,-7.053672532,
2.648528027,-7.054076024,
2.650341367,-7.054667402,
2.652147168,-7.055398413,
2.653945492,-7.056220387,
2.655736399,-7.057085873,
2.657519952,-7.05795019,
2.65929621,-7.058772799,
2.661065233,-7.059518425,
2.662827079,-7.060157849,
2.664581807,-7.060668307,
2.666329473,-7.061033473,
2.668070134,-7.061242997,
2.669803847,-7.061291632,
2.671530667,-7.061178004,
2.673250647,-7.060903088,
2.674963842,-7.06046852,
2.676670306,-7.05987483,
2.678370091,-7.059119762,
2.680063249,-7.05819677,
2.681749832,-7.057093846,
2.68342989,-7.055792769,
2.685103474,-7.054268859,
2.686770633,-7.052491314,
2.688431417,-7.05042414,
2.690085874,-7.048027663,
2.691734053,-7.045260584,
2.693376,-7.042082442,
2.695011762,-7.038456372,
2.696641387,-7.034351954,
2.69826492,-7.02974794,
2.699882406,-7.024634666,
2.70149389,-7.019015921,
2.703099417,-7.012910133,
2.70469903,-7.006350757,
2.706292773,-6.999385823,
2.707880689,-6.992076705,
2.70946282,-6.984496182,
2.711039208,-6.976725985,
2.712609895,-6.968853982,
2.714174922,-6.960971222,
2.715734329,-6.953169004,
2.717288157,-6.945536139,
2.718836446,-6.938156517,
2.720379234,-6.931107059,
2.721916561,-6.924456105,
2.723448466,-6.918262226,
2.724974986,-6.912573468,
2.726496159,-6.907426975,
2.728012022,-6.902848955,
2.729522614,-6.898854934,
2.731027969,-6.895450251,
2.732528124,-6.892630728,
2.734023115,-6.890383499,
2.735512977,-6.888687915,
2.736997746,-6.887516519,
2.738477456,-6.886836044,
2.739952142,-6.886608399,
2.741421837,-6.886791628,
2.742886575,-6.887340824,
2.74434639,-6.88820897,
2.745801314,-6.889347714,
2.74725138,-6.89070807,
2.748696621,-6.892241038,
2.750137069,-6.893898177,
2.751572754,-6.89563211,
2.753003709,-6.897397005,
2.754429965,-6.899149029,
2.755851552,-6.9008468,
2.757268501,-6.902451843,
2.758680842,-6.903929047,
2.760088605,-6.905247146,
2.76149182,-6.906379174,
2.762890515,-6.907302919,
2.76428472,-6.908001315,
2.765674463,-6.90846277,
2.767059774,-6.908681381,
2.76844068,-6.908657024,
2.769817208,-6.908395278,
2.771189388,-6.907907187,
2.772557246,-6.907208839,
2.773920809,-6.906320785,
2.775280104,-6.905267301,
2.776635158,-6.904075534,
2.777985997,-6.90277456,
2.779332648,-6.901394402,
2.780675136,-6.89996505,
2.782013487,-6.898515518,
2.783347726,-6.897072994,
2.784677878,-6.895662102,
2.786003969,-6.894304305,
2.787326024,-6.893017476,
2.788644066,-6.891815635,
2.78995812,-6.890708874,
2.791268209,-6.889703441,
2.792574359,-6.88880199,
2.793876593,-6.888003977,
2.795174933,-6.887306166,
2.796469403,-6.886703239,
2.797760027,-6.886188459,
2.799046826,-6.88575437,
2.800329824,-6.885393484,
2.801609043,-6.885098942,
2.802884505,-6.884865095,
2.804156232,-6.884688002,
2.805424246,-6.884565804,
2.806688568,-6.884498966,
2.807949221,-6.884490378,
2.809206225,-6.884545317,
2.810459601,-6.884671267,
2.81170937,-6.884877618,
2.812955553,-6.885175263,
2.81419817,-6.885576112,
2.815437242,-6.886092546,
2.816672789,-6.886736848,
2.817904831,-6.887520633,
2.819133388,-6.888454292,
2.820358479,-6.889546488,
2.821580124,-6.89080371,
2.822798342,-6.892229899,
2.824013152,-6.893826165,
2.825224574,-6.895590575,
2.826432627,-6.897518046,
2.827637328,-6.899600301,
2.828838696,-6.901825909,
2.830036751,-6.90418038,
2.831231509,-6.90664631,
2.83242299,-6.909203563,
2.833611211,-6.911829468,
2.83479619,-6.914499031,
2.835977944,-6.917185131,
2.837156492,-6.919858719,
2.83833185,-6.922488992,
2.839504035,-6.925043555,
2.840673066,-6.927488576,
2.841838958,-6.929788938,
2.843001728,-6.931908414,
2.844161393,-6.933809876,
2.845317971,-6.935455564,
2.846471476,-6.936807433,
2.847621926,-6.937827607,
2.848769336,-6.938478944,
2.849913722,-6.938725743,
2.851055101,-6.938534562,
2.852193489,-6.937875166,
2.8533289,-6.936721566,
2.85446135,-6.935053112,
2.855590855,-6.932855598,
2.85671743,-6.930122311,
2.857841091,-6.926854968,
2.858961851,-6.923064484,
2.860079727,-6.91877149,
2.861194733,-6.914006575,
2.862306883,-6.908810214,
2.863416193,-6.903232363,
2.864522676,-6.897331727,
2.865626348,-6.891174737,
2.866727221,-6.884834261,
2.867825312,-6.878388117,
2.868920633,-6.871917428,
2.870013198,-6.865504901,
2.871103021,-6.859233065,
2.872190117,-6.853182532,
2.873274498,-6.847430317,
2.874356179,-6.842048238,
2.875435172,-6.837101428,
2.876511491,-6.832646967,
2.877585149,-6.828732634,
2.878656159,-6.825395786,
2.879724535,-6.822662364,
2.880790289,-6.820546039,
2.881853434,-6.819047489,
2.882913982,-6.818153858,
2.883971948,-6.817838387,
2.885027342,-6.818060295,
2.886080177,-6.818764937,
2.887130467,-6.819884305,
2.888178222,-6.821337947,
2.889223456,-6.823034351,
2.890266181,-6.824872866,
2.891306408,-6.826746175,
2.892344149,-6.828543325,
2.893379416,-6.830153261,
2.894412222,-6.831468755,
2.895442577,-6.832390554,
2.896470493,-6.832831532,
2.897495982,-6.832720568,
2.898519056,-6.832005871,
2.899539725,-6.830657486,
2.900558001,-6.82866877,
2.901573895,-6.826056704,
2.902587418,-6.822861027,
2.903598581,-6.819142251,
2.904607396,-6.814978767,
2.905613873,-6.810463248,
2.906618022,-6.805698657,
2.907619855,-6.800794125,
2.908619383,-6.795860945,
2.909616615,-6.791008885,
2.910611563,-6.786342948,
2.911604236,-6.781960653,
2.912594646,-6.777949878,
2.913582802,-6.774387209,
2.914568715,-6.771336782,
2.915552395,-6.768849535,
2.916533852,-6.766962796,
2.917513096,-6.765700164,
2.918490137,-6.765071587,
2.919464984,-6.765073627,
2.920437649,-6.765689857,
2.92140814,-6.766891378,
2.922376467,-6.768637444,
2.92334264,-6.770876213,
2.924306668,-6.773545633,
2.925268561,-6.77657448,
2.926228328,-6.779883585,
2.927185979,-6.783387267,
2.928141522,-6.786995,
2.929094968,-6.790613299,
2.930046326,-6.79414785,
2.930995604,-6.797505808,
2.931942811,-6.800598246,
2.932887957,-6.803342639,
2.933831051,-6.8056653,
2.934772101,-6.807503623,
2.935711117,-6.808808021,
2.936648106,-6.809543427,
2.937583079,-6.809690252,
2.938516042,-6.809244735,
2.939447006,-6.808218651,
2.940375979,-6.806638408,
2.941302968,-6.804543574,
2.942227984,-6.801984962,
2.943151033,-6.799022378,
2.944072124,-6.79572219,
2.944991266,-6.792154851,
2.945908467,-6.788392504,
2.946823735,-6.784506774,
2.947737078,-6.780566835,
2.948648505,-6.776637797,
2.949558022,-6.772779438,
2.950465639,-6.7690453,
2.951371363,-6.765482111,
2.952275202,-6.762129523,
2.953177164,-6.75902013,
2.954077256,-6.756179704,
